satisfied,puas
satisfaction,puas
order,pesan
delivery,antar
takeaway,bawa pulang
takeout,bawa pulang
queue,antrian
family,keluarga
open,buka
closed,tutup
improve,baik
meting,pertemuan
meeting,pertemuan
adminnya, admin
sy,saya
jga,juga
ikanya,ikan
makananx,makanan
tnya,tanya
memuaskan,puas
pengunjung,kunjung
ditawawrkan,ditawarkan
ditambh,ditambah
ditolerin,ditoleransi
dkt,dekat
skali,sekali
cht,chat
kk,kakak
palagi,apalagi
tambh,tambah
gaes,guys
gays,guys
wtwrs,pelayan
servicenya,pelayanan
trimksih,makasih
terimah kasih,makasih
mo,mau
staff,staf
serves,pelayanan
drih,dari
ddk,duduk
plnyanan,pelayanan
ayakm,ayam
kayanan,pelayanan
rapt,rapat
makanann,makanan
enaakk,enak
enakkk,enak
worth itt,sepadan
rame2,ramai
sound,suara
request,permintaan
wc,toilet
anak2,anak-anak
pelngganya,pelanggannya
endol,enak
surendol,enak
disc,diskon
healing,relaksasi
ad,ada
thank you,terima kasih
fair price,harga sesuai
lampux,lampu
prgawai,karyawan
baguss,bagus
tks,terima kasih
kluaraga,keluarga
trutama,terutama
worthed,sepadan
mines,minus
suasanya,suasana
plyanannya,pelayanan
maknan,makanan
untk,untuk
krena,karena
mnunggu,menunggu
bbrpa,beberapa
bnget,banget
bnaget,banget
memuaskn,puas
ikn,ikan
pnbhan,penambahan
nasgor,nasi goreng
coba2,coba
acara2,acara
b aja,biasa saja
hambel,ramah
pake,pakai
parkiran,parkir
rban,ribuan
discount,diskon
refreshing,menyegarkan
but,tapi
services,pelayanan
book,pesan
seafood,makanan laut
humble,rendah hati
view,pemandangan
crew,kru
nma,nama
nm,nama
namax,nama
overal,keseluruhan
sngat,sangat
waitressnya,pelayan
pelayanx,pelayan
makanx,makanan
makanax,makanan
tempatx,tempat
sperti,seperti
hyaman,nyaman
kadi,jadi
tenpatnya,tempat
palayananya,pelayanan
enan,enak
reccomwnded,rekomendasi
rekomeded,rekomendasi
pelaayana,pelayanan
pelayaman,pelayanan
laennya,lain
meunggu,menunggu
maknannya,makanan
sercice,pelayanan
semuax,semua
cmn,cuma
qt,kita
skli,sekali
mw,mau
unk,untuk
ntuk,untuk
bw,bawa
lm,lama
brsama,bersama
castamer,pelanggan
rapat2,rapat
pedes,pedas
bestie,sahabat
nanya,tanya
nambah,tambah
bkin,membuat
pokox,pokoknya
pokokx,pokoknya
mutuh,mutu
enak2,enak
massapodda,sangat
overall,keseluruhan
family friendly,ramah keluarga
vibesnya,suasana
btw,omong-omong
serve,melayani
fast respon,respons cepat
fastrespon,respons cepat
team,tim
toddler,balita
outdoor,luar ruangan
wa,WhatsApp
good job,kerja bagus
banged,banget
alpokat,alpukat
terlaksnkn,terlaksana
pelaynan,pelayanan
rekomndasi,rekomendasi
bershbat,bersahabat
makananan,makanan
servisnya,pelayanan
layannan,pelayanan
mwnu,menu
hb,hanya
kwalitaa,kualitas
beesaing,bersaing
terllau,terlalu
smakin,semakin
rekomendedd,rekomendasi
viewnya,pemandangan
memuaska,puas
tmptnya,tempat
bnyak,banyak
hr,hari
wt,pelayan
pst,pasti
pkoknya,pokoknya
trm kasih,makasih
infokn,informasikan
gulmer,gula merah
waittres,pelayan
thnks,makasih
work it,sepadan
wort it,sepadan
makan2,makan
kalo,kalau
markotop,terbaik
muantap,mantap
emak2,ibu-ibu
ngehandle,menangani
orgx,orang
fav,favorit
toiletx,toilet
parkiranc,parkir
order,pesan
hospitality,keramahan
price,harga
pricenya,harga
soft spoken,lembut
happy,senang
dinner,makan malam
expectasi,ekspektasi
excelence,keunggulan
omg,astaga
ppl,orang
Over all,keseluruhan
kayawan,karyawan
sdah,sudah
bru,baru
susananya,suasana
suasannya,suasana
tenyata,ternyata
lumyan,lumayan
layannya,pelayanan
mantao,mantap
pelayananny,pelayanan
mendukunh,mendukung
smpah,sampah
trmksih,makasih
blang,bilang
rasax,rasa
mkannya,makanan
trbaik,terbaik
sepuring,sepiring
kmbali,kembali
jgan,jangan
byar,bayar
sya,saya
dsini,di sini
mlm,malam
spya,supaya
smpai,sampai
smpe,sampai
mkan,makan
bxk,banyak
apalg,apalagi
sngt,sangat
ksna,ke sana
sreg,cocok
iseng2,iseng
tuh,itu
cuek,tidak peduli
tabe,maaf
